country,size,attack_type,attribution,start_of_attack (soa),dwell_time [days],attack_detected (attdet),t2ad_utc_short,soa:t2ad_delta [sec],t2ad:attdet_delta [sec],root_cause,missing_logs,artifacts,lolbins,other,pre-attack_ioc,rdp,initial_access,impact,data_exfil,exfil_volume [GB],date_of_exfil_short,soa-exfil-delta [sec],exfil-attdet-delta [sec],exfil-posted_delta
Argentina,251-500,network breach,,2024-01,32,2024-02,2024-01,1506,2725513,unknown,cleared|disabled,AnyDesk|Logixoft Revealer Keylogger|SpyHunter|Sophos Virus Removal Tool|Chrome Browser|Atera RMM|Splashtop|SophosZap|SoftPerfect Network Scanner,RDP|reg.exe|notepad.exe|PsExec|netsh.exe|PowerShell|ntdsutil.exe|taskkill.exe|net.exe|bcdedit.exe|cmd.exe|wevtutil.exe|msiexec.exe|del.exe|net.exe|regedit.exe|shutdown.exe|mspaint.exe|rundll32.exe,unprotected systems|NTDS dump|reset passwords|exposed internal services|disable protection|malicious scripts|credential manager enumerated|modify local groups|event logging stopped|modify registry|disable restricted admin|install service|enable RDP|modify firewall rules|remove protection|delete registry keys|enable AutoAdminLogon|browse network|tamper protection removed|logs missing|logs cleared|delete files,,Yes - Internal only,unknown,Data Manipulation|System Shutdown/Reboot|Account Access Removal,,,,,,
United States of America,1-100,ransomware,ALPHV/BlackCat,2024-02,3,2024-02,,,,comped creds,not configured,Atera ScreenConnect|Atera RMM|Splashtop|ScreenConnect|SoftPerfect Network Scanner|Impacket|TeamViewer|LogMeIn|PuTTy|Python,RDP|Task Scheduler|PowerShell|cmd.exe,MFA unavailable|logs missing|create scheduled task|install service|browse network,brute force attack|modify registry|PowerShell|Metasploit,Yes - Internal only,External Remote Services|Valid Accounts,Data Encrypted for Impact,No evidence,,,,,
United States of America,501-1000,network breach,,2024-02,7,2024-02,2024-02,0,587207,comped creds,,mimikatz,RDP|cmd.exe|ntdsutil.exe|DCSync,MFA unavailable|unprotected systems|brute force attack|NTDS dump|kerberoast|SAM dump,,Yes - Internal only,External Remote Services|Valid Accounts,No Impact,,,,,,
United States of America,501-1000,ransomware,Black Suit,2024-02,7,2024-02,2024-02,484185,87153,exploit vulnerability,,AnyDesk|Veeam mgmt software|Chrome Browser|PuTTy|VMware vSphere Client|Firefox Browser|scp|chmod,RDP|mstsc.exe|PowerShell|notepad.exe|control.exe|winword.exe|regedit.exe|SQL Server Management Studio|ServerManager.exe|cmd.exe|sqlcmd.exe|tasklist.exe|mmc.exe|dsa.msc|ping.exe|ipconfig.exe|PsExec,Fortinet vuln|CVE-2024-21762|ESXi|unprotected systems|vulnerable VPN|install service|browse network|modify registry|enumerate database server|backup database|SMB|SSH|change permissions,,Yes - Internal only,External Remote Services|Exploit Public-Facing Application,Data Encrypted for Impact,Yes,,,,,
India,1001-3000,network breach,,2024-02,0,2024-02,,,,comped creds,,Chrome Browser|Rubeus|SharpShares|WinRAR,RDP|RDWeb|cmd.exe|ping.exe|PowerShell|Get-Domain|control.exe|net.exe|nltest.exe|rundll32.exe,exposed RDP|MFA unavailable,,Yes - Both,External Remote Services|Valid Accounts,No Impact,,,,,,
United Kingdom,251-500,network breach,,2024-02,3,2024-02,,,,comped creds,,Cobalt Strike|Chrome Browser,RDP|RDWeb|PowerShell|ping.exe|rdpshell.exe|cmd.exe|whoami.exe|Get-Domain|nltest.exe|mstsc.exe|msinfo32.exe|tasklist.exe|iexplore.exe|rundll32.exe|notepad.exe,exposed RDP|MFA unavailable|delete files|brute force attack,,Yes - Both,External Remote Services|Valid Accounts,Data Manipulation,,,,,,
Slovenia,501-1000,network breach,,2024-02,3,2024-02,2024-02,194188,7049,comped creds,,Notepad++|BloodHound|SharpHound,RDP|notepad.exe|cmd.exe|net.exe|whoami.exe|Edge browser|route.exe|mmc.exe|nltest.exe|mstsc.exe|PowerShell|hostname.exe|ntdsutil.exe,MFA unavailable|brute force attack|exposed internal services|browse network|NTDS dump,,Yes - Internal only,External Remote Services|Valid Accounts,No Impact,,,,,,
Kuwait,101-250,network breach,,2024-02,4,2024-02,,,,exploit vulnerability,,Cobalt Strike|Rubeus,RDP|cmd.exe|nltest.exe|PowerShell|rundll32.exe|pushd.exe,Citrix Netscaler ADC vuln (Citrix Bleed)|CVE-2023-4966|kerberoast|unprotected systems,,Yes - Internal only,Exploit Public-Facing Application,No Impact,,,,,,
India,501-1000,network breach,,2024-02,0,2024-02,2024-02,34413,-33741,exploit vulnerability,,ScreenConnect|curl,whoami.exe|nslookup.exe|cmd.exe|net.exe|reg.exe|tasklist.exe|hostname.exe|PowerShell|netstat.exe|findstr.exe|Task Scheduler|RDP|nltest.exe,ConnectWise ScreenConnect vuln|CVE-2024-1708|CVE-2024-1709|create accounts|SAM dump|modify domain groups|modify local groups|create scheduled task|netsh portproxy,,Yes - Internal only,Exploit Public-Facing Application,No Impact,,,,,,
United States of America,101-250,network breach,,2024-02,1,2024-02,2024-02,61106,7,exploit vulnerability,,ScreenConnect|Cobalt Strike,PowerShell|whoami.exe|systeminfo.exe|Get-ADComputer,ConnectWise ScreenConnect vuln|CVE-2024-1708|CVE-2024-1709|disable protection|add exclusions|reset passwords,,No,Exploit Public-Facing Application,Account Access Removal,,,,,,
United States of America,101-250,network breach,,2024-02,1,2024-02,,,,comped creds,,,RDP|RDWeb|rdpinit.exe|win32calc.exe|sethc.exe|cmd.exe|pushd.exe|nltest.exe|net.exe|whoami.exe|ping.exe|iexplore.exe|ipconfig.exe|PowerShell|rundll32.exe,exposed RDP|SystemBC RAT/Coroxy|MFA unavailable|SendSpace,,Yes - External only,External Remote Services|Valid Accounts,No Impact,,,,,,
Italy,501-1000,network breach,,2024-02,3,2024-02,,,,exploit vulnerability,,Chrome Browser|Rubeus|Advanced Port Scanner|Invoke-Hagrid,RDP|cmd.exe|whoami.exe|net.exe|ping.exe|PowerShell|notepad.exe|nltest.exe|iexplore.exe|ipconfig.exe,Citrix Netscaler ADC vuln (Citrix Bleed)|CVE-2023-4966|SSH|kerberoast,,Yes - External only,Exploit Public-Facing Application,No Impact,,,,,,
United States of America,101-250,network breach,,2024-02,7,2024-02,2024-02,0,632586,comped creds,,Cobalt Strike|Firefox Browser|7zip|WinPmem,RDP|cmd.exe|taskmgr.exe|vssadmin.exe|dnscmd.exe|rundll32.exe|PowerShell|sysmon.exe|Process Explorer|systeminfo.exe|DumpMinitool.exe,MFA unavailable|create shadow copy|NTDS dump|system hive collected|enumerate dns server|export dns zones|brute force attack|modify domain policies|user added to auth-logon for vpn|install service|SMB|SAM dump|create archive|delete files|QakBOT|lsass dump|enable user|remove protection,,Yes - Internal only,External Remote Services|Valid Accounts,Data Manipulation,Possible,,2024-02,771250,-138663,
Papua New Guinea,501-1000,ransomware,Unknown,2024-02,0,2024-02,2024-02,50319,134199,comped creds,limited,Chrome Browser,RDP|mmc.exe|taskmgr.exe|cmd.exe|net.exe|WMI|reg.exe|netsh.exe|notepad.exe|dsa.msc|services.msc|PowerShell|mstsc.exe|gpupdate.exe,ESXi|encrypt hypervisor|create accounts|modify local groups|modify registry|modify firewall rules|enable RDP|browse network|modify domain policies|exposed RDP|logs missing,brute force attack,Yes - Both,External Remote Services|Valid Accounts,Data Encrypted for Impact,,,,,,
Hong Kong,101-250,ransomware,Mario,2024-02,13,2024-02,2024-02,427,1104037,comped creds,limited,Megasync|SoftPerfect Network Scanner|FileSeek|mimikatz|7zip|WinRAR|KPortScan,RDP|DCSync|PowerShell,create archive|logs missing|MFA unavailable|kerberoast|browse network|create accounts|modify domain groups|add exclusions|speedtest.net|modify local groups|brute force attack|Mega (all TLDs)|disable protection|uninstall application,,Yes - Internal only,External Remote Services|Valid Accounts,Data Encrypted for Impact,Yes,977,2024-02,142379,962085,
Germany,1-100,ransomware,LockBit,2024-02,0,2024-02,,,,unknown,,TeamViewer|Chrome Browser,RDP|cmd.exe,unprotected systems|malicious scripts,,Yes - Internal only,unknown,Data Encrypted for Impact,,,,,,
United Kingdom,1001-3000,network breach,,2024-02,0,2024-02,,,,comped creds,,Cobalt Strike,RDP|cmd.exe|ProcDump|net.exe,MFA unavailable|unprotected systems|install service|browse network|lsass dump|create accounts|modify local groups,,Yes - Internal only,Valid Accounts,No Impact,,,,,,
United States of America,501-1000,data exfiltration,Unknown,2024-02,6,2024-02,,,,comped creds,,Atera RMM|scp|OpenSSH|GoToResolve|WinSCP|curl,msiexec.exe|cmd.exe|nltest.exe|quser.exe|rundll32.exe|net.exe|PowerShell|AD Explorer|makecab.exe|systeminfo.exe|eventvwr.exe|mmc.exe|vssadmin.exe|rundll32.exe|reg.exe|ipconfig.exe|net.exe|ping.exe|notepad.exe|CredentialUIBroker.exe|runas|RDP|mstsc.exe,MFA unavailable|SSH|create shadow copy|SAM dump|malicious scripts|delete files|create archive,,Yes - Internal only,External Remote Services|Valid Accounts,Data Manipulation,Yes,,2024-02,555160,-28431,
United States of America,501-1000,network breach,,2024-03,0,2024-03,,,,exploit vulnerability,,ScreenConnect,whoami.exe|cmd.exe|PowerShell,ConnectWise ScreenConnect vuln|CVE-2024-1708|CVE-2024-1709,,No,Exploit Public-Facing Application,No Impact,,,,,,
Singapore,101-250,network breach,,2024-01,55,2024-03,,,,comped creds,,Advanced IP Scanner|ShareAudit|WinPmem|Volatility|7zip,RDP|RDWeb|PowerShell|quser.exe|whoami.exe|systeminfo.exe|findstr.exe|ipconfig.exe|net.exe|nltest.exe|mstsc.exe|ping.exe|notepad.exe|cmd.exe|Task Scheduler|reg.exe|taskmgr.exe,exposed RDP|MFA unavailable|lsass dump|delete files|delete task|system hive collected|SAM dump|security hive collected|create scheduled task,,Yes - Both,External Remote Services|Valid Accounts,Data Manipulation,,,,,,
United Kingdom,101-250,network breach,,2024-02,3,2024-03,2024-02,203,195312,comped creds,,Impacket|Python,RDP,MFA unavailable|brute force attack|SMB|SAM dump|unprotected systems|kerberoast,,Yes - Internal only,External Remote Services|Valid Accounts,No Impact,,,,,,
Germany,101-250,ransomware,Mario,2024-02,0,2024-02,2023-12,-6491141,6511318,exploit vulnerability,unavailable|re-imaged,PingCastle|SoftPerfect Network Scanner|SlinkyCat|TreeSize|7zip|Pulseway RMM|MobaXterm|WinSCP|NetSupport Manager|PuTTy|Cobalt Strike|Remote Desktop Manager,RDP|PowerShell|reg.exe,Citrix Netscaler ADC vuln (Citrix Bleed)|CVE-2023-4966|create archive|kerberoast|massive.io|fast.com|linux ransomware|modify local groups|disable protection|modify registry|enable RDP|logs missing|ZeroLogon|install service|reset passwords|private browsing|browse network|encrypt hypervisor,install service|RDP|SoftPerfect Network Scanner|PowerShell,Yes - Internal only,Exploit Public-Facing Application|External Remote Services,Data Encrypted for Impact|Account Access Removal,Yes,,2024-02,13659,6517,
